co-nr,communities,Latitude,Longitude,Average rent sq.ft/AED
126.0,Abu Hail,25.28308000000000,55.33435000000000,84
711.0,Al Awir First,25.186050000000000,55.54108000000010,82
721.0,Al Awir Second,25.167920000000000,55.543310000000100,82
333.0,Al Bada,25.21861000000010,55.26406000000000,141
122.0,Al Baraha,25.282800000000100,55.31678000000010,157
373.0,Al Barsha First,25.11483000000000,55.19136000000000,169
376.0,Al Barsha Second,25.107230000000100,55.20485000000010,87
671.0,Al Barsha South First,25.08958000000010,55.23424000000010,110
672.0,Al Barsha South Second,25.077390000000000,55.24267000000000,82
673.0,Al Barsha South Third,25.062290000000100,55.23995000000010,82
375.0,Al Barsha Third,25.093420000000000,55.19044000000010,110
114.0,Al Buteen,25.269250000000100,55.29944000000010,365
113.0,Al Dhagaya,25.272170000000100,55.30157000000000,228
214.0,Al Garhoud,25.243370000000000,55.352670000000000,91
359.0,Al Guoz Fourth,25.269510000000000,55.30884000000000,114
313.0,"Al Hamriya, Dubai",25.25696000000010,55.30246000000010,175
131.0,Al Hamriya Port,25.29871000000000,55.33546000000010,110
322.0,Al Hudaiba,25.237130000000000,55.27707000000000,124
326.0,Al Jaddaf,25.220540000000000,55.34166000000010,127
323.0,Al Jafiliya,25.233420000000000,55.29001000000010,85
318.0,Al Karama,25.245290000000100,55.30364000000000,122
128.0,Al Khabisi,25.27177000000010,55.33762000000010,86
281.0,Al Khwaneej First,25.24282000000010,55.48440000000010,97
282.0,Al Khwaneej Second,25.22784000000010,55.522320000000000,97
324.0,Al Kifaf,25.238090000000100,55.29779000000010,86
134.0,Al Mamzar,25.300940000000000,55.34003000000010,95
363.0,Al Manara,25.145790000000000,55.209580000000100,202
317.0,Al Mankhool,25.245160000000100,55.29333000000010,120
347.0,Al Merkad,25.154760000000100,55.27988000000010,90
321.0,Al Mina,25.271660000000100,55.267580000000100,85
262.0,Al Mizhar First,25.242650000000000,55.44234000000010,100
263.0,Al Mizhar Second,25.252360000000100,55.45677000000010,100
124.0,Al Muraqqabat,25.26836000000000,55.32634000000010,143
117.0,Al Murar,25.278350000000000,55.308170000000100,84
252.0,Al Mushrif,25.27257000000000,55.37802000000010,154
123.0,Al Muteena,25.272280000000000,55.322910000000000,124
231.0,Al Nahda First,25.286600000000100,55.36345000000010,150
241.0,Al Nahda Second,25.292550000000100,55.37481000000010,150
319.0,"Al Nasr, Dubai",25.276040000000000,55.30995000000010,195
354.0,Al Quoz First,25.168520000000100,55.250650000000100,110
364.0,Al Quoz Industrial First,25.145250000000000,55.23015000000000,110
369.0,Al Quoz Industrial Fourth,25.122700000000100,55.22761000000000,110
365.0,Al Quoz Industrial Second,25.135920000000100,55.243130000000100,110
368.0,Al Quoz Industrial Third,25.13068000000000,55.23132000000000,110
355.0,Al Quoz Second,25.164780000000100,55.270800000000100,140
